age,city,dist,gender,make,year,model,new_used,quote
76,Norfolk County,16747,f,toyota,2001,camry,used,410.04003293560464
62,Kelowna,18770,f,acura,2005,mdx,used,431.0226262028659
41,Quebec City,22930,f,honda,2010,accord,used,410.04003293560464
80,Gatineau,19349,f,acura,2014,rsx,used,421.94600642594145
80,Blainville,19284,m,chevy,2006,equinox,used,720.8323477359075
78,Welland,21952,m,ford,2002,explorer,used,729.9089675128321
66,Ajax,4987,m,audi,2014,e-tron,used,773.5438201037869
20,Whitby,6457,f,toyota,1999,corrola,used,1744.5134117710525
24,Trois-Rivieres,12037,m,honda,2010,accord,used,2064.38234634828
64,Welland,20844,f,acura,2018,rsx,used,431.0226262028659
36,Kamloops,13899,m,honda,2015,civic,used,729.9089675128321
63,Saint-Hyacinthe,22153,m,toyota,2002,corrola,used,729.9089675128321
35,Delta,1570,f,bmw,2005,i8,used,302.78440015323804
61,Strathcona County,3185,f,gmc,2015,terrain,used,410.04003293560464
72,Brossard,9767,m,ford,2014,focus,used,720.8323477359075
22,Mississauga,12700,m,nissan,2008,micro,used,2064.38234634828
24,St. Albert,13630,m,honda,2012,civic,used,2064.38234634828
74,Saskatoon,12291,m,mercedes,2000,g,used,782.6204398807113
29,Cape Breton,12646,m,ford,2001,f150,used,2055.3057265713555
49,Saanich,4749,m,honda,2008,civic,used,729.9089675128321
84,Kawartha Lakes,5502,f,acura,2012,mdx,used,431.0226262028659
21,Coquitlam,6996,m,bmw,2013,m3,used,2108.0171989392347
74,Richmond,13275,f,bmw,2001,m3,used,462.75150530348395
22,Sherbrooke,11579,f,gmc,2000,terrain,used,1744.5134117710525
71,Vaughan,9596,f,acura,2017,mdx,used,431.0226262028659
66,Kawartha Lakes,6492,f,ford,1998,f150,used,410.04003293560464
67,Chilliwack,24762,m,tesla,2017,3,used,741.8149410031688
29,Saint John,4215,f,acura,2006,mdx,used,1765.4960050383136
83,Calgary,10884,m,audi,2006,e-tron,used,773.5438201037869
50,Norfolk County,4001,m,gmc,2016,yukon,used,729.9089675128321
61,Belleville,14920,m,ford,2014,explorer,used,720.8323477359075
52,Guelph,16219,f,gmc,2012,terrain,used,400.9634131586801
34,Winnipeg,23992,m,ford,2019,focus,new,729.9089675128321
65,Granby,5447,m,ford,2000,f150,used,720.8323477359075
32,Peterborough,19829,f,acura,2004,mdx,used,431.0226262028659
36,Norfolk County,13224,m,honda,2010,accord,used,729.9089675128321
35,Markham,16442,m,toyota,2011,camry,used,729.9089675128321
61,Mississauga,10086,f,tesla,2019,x,new,431.0226262028659
38,North Vancouver,6414,f,toyota,1999,camry,used,410.04003293560464
55,Thunder Bay,13161,f,ford,2016,explorer,used,410.04003293560464
36,Peterborough,15300,m,mercedes,1999,g,used,782.6204398807113
84,Oshawa,20479,f,nissan,2007,mirano,used,410.04003293560464
84,Victoria,15306,m,tesla,2013,x,used,750.8915607800933
70,Medicine Hat,24834,f,mercedes,2013,g,used,462.75150530348395
32,Prince George,15505,m,ford,2000,focus,used,729.9089675128321
78,Sault Ste. Marie,11122,f,nissan,2002,micro,used,410.04003293560464
45,Oshawa,11461,f,acura,2012,mdx,used,431.0226262028659
63,Halton Hills,21605,m,tesla,2002,x,used,741.8149410031688
45,Saanich,2712,m,chevy,2015,malibu,used,579.0184821395106
61,Saint John,7860,f,gmc,2010,sierra,used,410.04003293560464
40,Moncton,20969,m,ford,2018,explorer,used,729.9089675128321
35,Ottawa,3722,m,ford,2012,explorer,used,729.9089675128321
48,Nanaimo,11805,m,ford,2014,focus,used,729.9089675128321
55,Moncton,12324,f,honda,2007,civic,used,410.04003293560464
38,Mississauga,7137,f,chevy,2017,malibu,used,410.04003293560464
18,Coquitlam,19976,m,toyota,2016,corrola,used,2055.3057265713555
72,Cambridge,3656,f,toyota,2010,corrola,used,400.9634131586801
55,Maple Ridge,18046,m,toyota,2015,corrola,used,729.9089675128321
48,Delta,2264,f,bmw,2014,x5,used,302.78440015323804
79,Saint-Jerome,12730,m,audi,2001,r8,used,782.6204398807113
72,Thunder Bay,8556,f,tesla,2011,s,used,431.0226262028659
29,Blainville,6227,f,mercedes,2003,c,used,1788.1482643620075
39,New Westminster,23415,m,bmw,2019,x5,new,782.6204398807113
45,Terrebonne,9261,f,ford,2012,focus,used,410.04003293560464
53,Langley,7824,f,acura,2001,mdx,used,431.0226262028659
81,Laval,9394,m,toyota,2015,corrola,used,729.9089675128321
46,Oshawa,24396,f,toyota,2007,corrola,used,410.04003293560464
39,North Bay,13889,f,acura,2007,mdx,used,431.0226262028659
48,Aurora,7672,m,nissan,2002,mirano,used,720.8323477359075
77,Clarington,1238,m,gmc,2017,yukon,used,569.9418623625862
45,London,23496,m,acura,2003,mdx,used,750.8915607800933
66,Victoria,15584,m,honda,2009,accord,used,729.9089675128321
63,Saint Catharines,7596,m,bmw,2016,m3,used,782.6204398807113
55,North Vancouver,10862,m,toyota,2015,corrola,used,729.9089675128321
61,Blainville,15317,f,nissan,2000,mirano,used,400.9634131586801
49,Saskatoon,18543,f,mercedes,2015,s,used,462.75150530348395
42,Kitchener,1547,f,tesla,2003,3,used,280.1321408295446
51,Sarnia,18133,m,acura,2017,mdx,used,750.8915607800933
41,London,20544,f,acura,2012,mdx,used,431.0226262028659
38,Waterloo,16008,f,honda,2013,civic,used,410.04003293560464
29,Victoria,10734,m,mercedes,2015,c,used,2117.093818716159
65,Thunder Bay,2022,f,honda,2008,accord,used,259.1495475622833
37,North Bay,2429,f,nissan,2018,mirano,used,259.1495475622833
39,Abbotsford,22314,m,tesla,2012,s,used,741.8149410031688
26,Nanaimo,3007,f,mercedes,2012,g,used,1797.2248841389319
68,St. Albert,13408,f,acura,2012,rsx,used,431.0226262028659
67,Quebec City,12491,f,nissan,2005,mirano,used,410.04003293560464
38,Whitby,7068,m,tesla,2010,s,used,750.8915607800933
81,Langley,1467,m,tesla,2005,s,used,600.001075406772
21,Lethbridge,16429,m,chevy,2016,malibu,used,2064.38234634828
36,Cambridge,12539,m,tesla,2017,3,used,741.8149410031688
61,Waterloo,9956,f,audi,2008,e-tron,used,462.75150530348395
18,Mirabel,8192,f,toyota,2003,corrola,used,1744.5134117710525
67,North Bay,15187,m,ford,2019,explorer,new,729.9089675128321
71,Delta,15286,f,toyota,2017,corrola,used,400.9634131586801
71,Markham,13355,m,nissan,2003,micro,used,729.9089675128321
23,Repentigny,3239,m,toyota,2014,camry,used,2064.38234634828
73,Milton,7415,m,nissan,2008,mirano,used,729.9089675128321
52,Halton Hills,1821,f,nissan,2010,mirano,used,250.07292778535876
30,Kelowna,2156,f,gmc,2001,sierra,used,259.1495475622833
20,Newmarket,18054,m,nissan,2018,mirano,used,2064.38234634828
25,Pickering,14164,m,bmw,2002,x5,used,2117.093818716159
27,Port Coquitlam,13101,f,nissan,2011,mirano,used,1744.5134117710525
77,Drummondville,10888,f,audi,2010,r8,used,453.6748855265594
29,Montreal,6421,f,nissan,2019,mirano,new,1744.5134117710525
58,Saint-Jerome,22828,m,bmw,1998,i8,used,782.6204398807113
35,Airdrie,2224,m,acura,2000,mdx,used,590.9244556298474
47,Welland,16836,m,nissan,2019,mirano,new,729.9089675128321
28,Windsor,1406,f,audi,2007,r8,used,1646.3343987656106
65,Langley,7314,m,mercedes,2016,s,used,782.6204398807113
25,Halton Hills,14033,f,audi,2014,r8,used,1788.1482643620075
73,Terrebonne,23086,m,gmc,2012,terrain,used,729.9089675128321
32,North Vancouver,11387,f,chevy,2013,malibu,used,410.04003293560464
49,Maple Ridge,2620,f,chevy,2009,malibu,used,259.1495475622833
42,Sault Ste. Marie,18477,f,acura,2001,rsx,used,431.0226262028659
43,Guelph,12697,m,toyota,2001,corrola,used,720.8323477359075
