age,city,dist,gender,make,year,model,new_used,quote
38,Burnaby,7760,m,toyota,1998,corrola,used,75.66669318412728
57,Grande Prairie,1383,m,bmw,2016,m3,used,282.7494584877101
19,Windsor,17689,m,audi,2009,r8,used,376.13919567977706
28,Guelph,15861,m,mercedes,2002,c,used,374.78256186419156
38,Trois-Rivieres,10941,f,honda,2001,accord,used,67.93718216659151
44,Cape Breton,19850,f,ford,2003,f150,used,66.58054835100602
65,London,15791,f,nissan,1999,micro,used,67.93718216659151
71,Abbotsford,7166,f,ford,2014,explorer,used,66.58054835100602
44,Burlington,15534,m,honda,2011,accord,used,75.66669318412728
70,Calgary,21673,f,nissan,2013,mirano,used,66.58054835100602
67,St. Catharines,3106,f,audi,2017,e-tron,used,277.8729577855262
22,Halton Hills,7020,f,ford,2012,explorer,used,155.7606414121356
59,Aurora,5719,m,chevy,2014,malibu,used,75.66669318412728
59,Mirabel,17254,f,chevy,2005,malibu,used,67.93718216659151
73,Windsor,19927,m,honda,1999,civic,used,77.02332699971278
48,Kelowna,10278,f,tesla,2005,3,used,144.49167987732156
51,Repentigny,10496,f,audi,2007,e-tron,used,277.8729577855262
56,Whitby,21770,f,honda,2011,civic,used,67.93718216659151
62,Quebec City,21563,f,acura,2006,mdx,used,144.49167987732156
72,Montreal,8073,m,toyota,2012,corrola,used,77.02332699971278
55,Sarnia,23156,f,mercedes,2002,s,used,277.8729577855262
19,Saint Albert,8833,f,gmc,1998,terrain,used,157.1172752277211
78,Victoria,12579,m,bmw,2006,x5,used,286.9591026186475
25,Brossard,17372,f,toyota,2006,corrola,used,155.7606414121356
41,Kawartha Lakes,9005,m,tesla,2009,s,used,153.57782471044285
77,Repentigny,17204,m,toyota,2004,corrola,used,77.02332699971278
22,Prince George,1933,f,gmc,1999,terrain,used,154.2642649123692
21,Waterloo,10818,f,chevy,2017,equinox,used,157.1172752277211
29,Hamilton,10826,f,honda,2002,accord,used,155.7606414121356
23,Halifax,18212,f,mercedes,2003,g,used,365.69641703107027
56,Mirabel,13141,f,nissan,2004,micro,used,67.93718216659151
52,Repentigny,7646,f,bmw,2016,x5,used,277.8729577855262
73,Kawartha Lakes,8553,f,ford,2003,f150,used,67.93718216659151
76,Markham,19512,f,ford,2011,focus,used,67.93718216659151
57,Markham,11436,f,gmc,2018,terrain,used,67.93718216659151
23,Pickering,17095,m,acura,2015,mdx,used,242.75791777157244
28,Kitchener,19666,m,toyota,1999,camry,used,166.20342006084238
41,Newmarket,4281,f,mercedes,2003,s,used,277.8729577855262
25,Prince George,22138,m,tesla,2009,x,used,242.75791777157244
43,North Vancouver,3249,f,nissan,2004,mirano,used,67.93718216659151
58,Winnipeg,9402,m,chevy,2006,malibu,used,77.02332699971278
55,Saint Catharines,5449,f,acura,2008,rsx,used,144.49167987732156
60,Victoria,8087,f,bmw,2016,m3,used,277.8729577855262
74,St. John,24699,f,acura,2014,mdx,used,144.49167987732156
43,Brossard,4924,m,ford,2011,focus,used,75.66669318412728
48,Repentigny,21904,m,bmw,2016,i8,used,286.9591026186475
59,Repentigny,13547,f,ford,2013,explorer,used,67.93718216659151
73,Brantford,23802,m,bmw,2009,i8,used,285.602468803062
36,Guelph,21263,f,toyota,2014,camry,used,66.58054835100602
46,Kitchener,10120,f,acura,1998,mdx,used,144.49167987732156
76,Surrey,18161,m,audi,2013,r8,used,286.9591026186475
20,Peterborough,4594,m,acura,2003,rsx,used,242.75791777157244
39,Milton,22590,m,acura,1998,mdx,used,153.57782471044285
33,Victoria,23886,f,mercedes,2017,g,used,277.8729577855262
37,Guelph,6792,m,gmc,2011,sierra,used,75.66669318412728
18,North Bay,20844,m,honda,2009,accord,used,166.20342006084238
72,Barrie,17929,f,tesla,2001,x,used,143.13504606173606
39,Greater Sudbury,9596,f,tesla,1998,3,used,143.13504606173606
50,Regina,10497,m,toyota,2001,corrola,used,77.02332699971278
58,Hamilton,15037,f,audi,2001,r8,used,276.5163239699407
21,New Westminster,3888,f,tesla,2015,3,used,233.67177293845114
72,Saint John,21733,m,ford,2007,focus,used,77.02332699971278
52,Saskatoon,7087,f,ford,2019,focus,new,67.93718216659151
47,Saint-Jerome,18908,m,audi,1998,e-tron,used,286.9591026186475
39,North Bay,11595,m,audi,2007,e-tron,used,286.9591026186475
82,Ottawa,5954,m,honda,2018,accord,used,77.02332699971278
24,Mississauga,19465,m,mercedes,2018,s,used,376.13919567977706
20,Terrebonne,1651,f,tesla,2013,x,used,230.81876262309927
76,Milton,24622,f,gmc,2019,terrain,new,67.93718216659151
21,Kawartha Lakes,4405,m,toyota,2001,camry,used,166.20342006084238
19,North Bay,10117,m,nissan,2003,micro,used,166.20342006084238
63,Halton Hills,16755,m,bmw,2001,m3,used,285.602468803062
37,Norfolk County,10949,m,bmw,2012,i8,used,286.9591026186475
83,Markham,2683,m,nissan,2015,mirano,used,74.1703166843609
70,Whitby,2550,f,honda,2009,accord,used,65.08417185123962
60,Saanich,8687,f,nissan,2005,mirano,used,67.93718216659151
32,Victoria,4050,m,tesla,2003,x,used,153.57782471044285
74,Grande Prairie,18585,m,acura,2018,rsx,used,152.22119089485736
29,Ottawa,11485,f,toyota,2001,corrola,used,157.1172752277211
68,Granby,4461,m,mercedes,1999,c,used,285.602468803062
50,Greater Sudbury,3620,f,honda,2004,civic,used,66.58054835100602
58,London,17159,m,nissan,2009,mirano,used,77.02332699971278
36,Red Deer,4427,f,mercedes,2010,c,used,277.8729577855262
39,Guelph,8177,f,gmc,2008,sierra,used,66.58054835100602
19,Saint John,13482,m,chevy,2019,malibu,new,166.20342006084238
67,Brossard,10229,f,nissan,2019,micro,new,66.58054835100602
59,Saint-Jean-sur-Richelieu,21394,m,honda,2005,accord,used,77.02332699971278
39,Richmond Hill,19343,f,chevy,2009,malibu,used,67.93718216659151
53,Barrie,18326,f,acura,2003,mdx,used,143.13504606173606
52,Medicine Hat,14408,f,acura,2005,mdx,used,144.49167987732156
79,Port Coquitlam,18287,m,tesla,2015,x,used,153.57782471044285
82,Abbotsford,9452,m,tesla,2006,s,used,152.22119089485736
27,Kawartha Lakes,4535,f,audi,2017,r8,used,367.0530508466558
53,St. John,5888,f,ford,1999,f150,used,67.93718216659151
32,Barrie,13134,f,audi,1999,r8,used,276.5163239699407
59,Montreal,24887,f,nissan,2013,mirano,used,67.93718216659151
83,Brantford,17059,f,honda,2010,accord,used,66.58054835100602
71,North Vancouver,15031,m,honda,2005,civic,used,77.02332699971278
23,Vaughan,20705,f,honda,2014,accord,used,157.1172752277211
19,Richmond,2140,f,nissan,2003,micro,used,154.2642649123692
30,Halifax,3109,f,tesla,1999,s,used,143.13504606173606
50,Saskatoon,23206,m,honda,2019,civic,new,77.02332699971278
83,Vancouver,2201,f,tesla,2016,3,used,141.6386695619697
18,Wood Buffalo,22030,m,chevy,2015,malibu,used,166.20342006084238
56,North Vancouver,7923,m,honda,2019,accord,new,77.02332699971278
30,Greater Sudbury,24090,m,acura,2003,rsx,used,152.22119089485736
77,Norfolk County,12757,m,ford,2001,explorer,used,77.02332699971278
49,Red Deer,2520,f,ford,2001,focus,used,65.08417185123962
73,Oakville,2806,m,tesla,2009,3,used,150.72481439509096
66,Strathcona County,20937,m,mercedes,2018,s,used,286.9591026186475
47,North Bay,15719,m,chevy,2005,malibu,used,77.02332699971278
19,Kawartha Lakes,5042,m,audi,2013,e-tron,used,376.13919567977706
73,Surrey,13643,f,toyota,2019,corrola,new,67.93718216659151
34,Vaughan,15948,m,bmw,2016,m3,used,286.9591026186475
43,Whitby,7169,f,tesla,2014,3,used,144.49167987732156
29,Newmarket,21931,f,gmc,2007,yukon,used,157.1172752277211
74,St. Albert,7310,m,ford,2017,explorer,used,77.02332699971278
63,Repentigny,8279,m,nissan,1999,mirano,used,77.02332699971278
28,Nanaimo,17678,m,tesla,2002,3,used,242.75791777157244
80,Saint-Jerome,24111,m,chevy,2004,malibu,used,77.02332699971278
38,Saint John,1421,m,toyota,2018,corrola,used,74.1703166843609
22,Halton Hills,14579,m,ford,1999,focus,used,164.84678624525688
49,Moncton,9041,m,acura,2017,mdx,used,153.57782471044285
80,Kawartha Lakes,13261,m,gmc,2018,yukon,used,77.02332699971278
57,Gatineau,24264,m,mercedes,1998,c,used,285.602468803062
57,Caledon,3425,f,nissan,2001,micro,used,66.58054835100602
62,London,8160,f,tesla,2009,3,used,144.49167987732156
40,Saskatoon,18146,m,nissan,2000,mirano,used,77.02332699971278
76,Saguenay,11433,f,honda,2008,accord,used,67.93718216659151
46,Greater Sudbury,16041,m,audi,2002,r8,used,285.602468803062
38,Kitchener,19125,f,bmw,2015,i8,used,277.8729577855262
34,Aurora,10119,m,honda,2007,civic,used,75.66669318412728
37,Port Coquitlam,17452,m,honda,2004,accord,used,77.02332699971278
25,Repentigny,22688,m,mercedes,1998,s,used,376.13919567977706
35,Clarington,13868,m,bmw,2013,i8,used,285.602468803062
46,Blainville,22349,m,bmw,2015,x5,used,285.602468803062
60,Saint-Jerome,10047,m,acura,2007,rsx,used,153.57782471044285
84,Quebec City,17212,m,ford,2002,explorer,used,77.02332699971278
74,Halifax,19030,f,ford,2008,explorer,used,66.58054835100602
28,Saint-Jean-sur-Richelieu,19137,m,ford,2000,f150,used,166.20342006084238
57,Norfolk County,16595,f,audi,2013,r8,used,277.8729577855262
47,Laval,11494,f,ford,2012,f150,used,67.93718216659151
70,Guelph,6686,f,tesla,1998,3,used,143.13504606173606
39,Longueuil,16109,m,nissan,1998,mirano,used,77.02332699971278
55,Calgary,24828,f,acura,2015,rsx,used,143.13504606173606
83,North Vancouver,10754,m,chevy,2000,equinox,used,77.02332699971278
58,Repentigny,4793,f,tesla,2003,3,used,144.49167987732156
68,Clarington,14897,m,gmc,2005,sierra,used,75.66669318412728
64,Saskatoon,13246,m,bmw,2010,m3,used,286.9591026186475
76,Caledon,8711,m,bmw,2002,x5,used,285.602468803062
61,Edmonton,23269,m,gmc,2002,terrain,used,75.66669318412728
22,Peterborough,12855,f,honda,2005,civic,used,157.1172752277211
80,Cape Breton,16831,f,audi,2007,r8,used,276.5163239699407
56,Aurora,18453,m,chevy,2016,equinox,used,75.66669318412728
44,Terrebonne,13316,f,chevy,2003,malibu,used,67.93718216659151
34,Ajax,10853,f,gmc,2009,terrain,used,66.58054835100602
29,Greater Sudbury,14834,m,audi,2011,e-tron,used,374.78256186419156
66,Blainville,1842,f,mercedes,2016,g,used,273.6633136545888
66,Toronto,20875,f,toyota,2017,camry,used,67.93718216659151
54,Repentigny,12533,m,mercedes,2018,c,used,286.9591026186475
26,Aurora,12858,f,audi,2019,r8,new,365.69641703107027
72,Victoria,18961,f,audi,2001,r8,used,277.8729577855262
70,Strathcona County,22503,f,nissan,2006,mirano,used,67.93718216659151
68,Regina,22391,m,nissan,2019,micro,new,77.02332699971278
69,Brantford,6559,f,acura,2002,rsx,used,143.13504606173606
66,Langley,15322,f,chevy,2016,malibu,used,67.93718216659151
48,Brampton,2262,m,honda,2012,civic,used,72.8136828687754
31,Drummondville,16302,m,toyota,2013,camry,used,75.66669318412728
42,Abbotsford,8525,m,audi,2010,e-tron,used,285.602468803062
18,Waterloo,19300,f,audi,2005,e-tron,used,367.0530508466558
55,Saskatoon,9980,f,bmw,2017,x5,used,277.8729577855262
52,Abbotsford,23047,f,ford,2008,f150,used,66.58054835100602
49,Belleville,12583,m,mercedes,2013,g,used,285.602468803062
69,Moncton,22260,m,nissan,2014,mirano,used,77.02332699971278
63,North Bay,24918,f,bmw,2013,x5,used,277.8729577855262
22,Vancouver,9532,f,tesla,2018,s,used,233.67177293845114
71,Lethbridge,24004,m,bmw,2001,m3,used,286.9591026186475
39,Mirabel,18267,f,bmw,2007,i8,used,277.8729577855262
63,Montreal,16745,f,honda,2009,accord,used,67.93718216659151
36,Mississauga,20424,m,nissan,2006,micro,used,77.02332699971278
49,Burlington,1985,f,chevy,2019,malibu,new,63.72753803565413
76,Barrie,18489,f,acura,1998,rsx,used,143.13504606173606
80,Richmond Hill,3157,m,bmw,2011,x5,used,286.9591026186475
56,Surrey,23110,f,nissan,2005,micro,used,67.93718216659151
19,Surrey,16630,m,gmc,2009,yukon,used,166.20342006084238
68,Ottawa,8224,m,acura,2004,rsx,used,153.57782471044285
23,Winnipeg,1652,m,chevy,2010,equinox,used,163.3504097454905
35,North Bay,16700,m,nissan,2014,mirano,used,77.02332699971278
34,Vaughan,12371,f,chevy,2011,equinox,used,67.93718216659151
27,Granby,16917,m,chevy,2014,malibu,used,164.84678624525688
55,Brossard,19459,m,bmw,2012,x5,used,285.602468803062
71,Pickering,6976,m,gmc,2010,terrain,used,77.02332699971278
57,Markham,13305,f,chevy,2018,equinox,used,67.93718216659151
53,Burnaby,3535,f,nissan,1999,micro,used,66.58054835100602
70,Saint-Jean-sur-Richelieu,22692,f,tesla,2006,3,used,144.49167987732156
43,Laval,6357,m,honda,2010,accord,used,77.02332699971278
66,Oshawa,8135,m,acura,1999,rsx,used,153.57782471044285
69,Oshawa,7684,f,bmw,2014,i8,used,277.8729577855262
72,Saskatoon,7756,f,tesla,2013,s,used,144.49167987732156
68,Surrey,22735,f,nissan,2011,mirano,used,67.93718216659151
63,Barrie,22208,f,gmc,2014,sierra,used,66.58054835100602
48,Hamilton,13860,f,nissan,2004,mirano,used,66.58054835100602
65,Oshawa,1955,m,chevy,2017,malibu,used,74.1703166843609
28,Port Coquitlam,19506,f,audi,2004,r8,used,367.0530508466558
67,Kitchener,11066,f,audi,2008,e-tron,used,277.8729577855262
47,Kelowna,21536,f,audi,2011,r8,used,277.8729577855262
34,Fredericton,2328,m,acura,2009,rsx,used,149.36818057950546
43,Saint-Hyacinthe,8907,f,acura,2010,rsx,used,144.49167987732156
78,Gatineau,3090,m,toyota,2009,corrola,used,75.66669318412728
81,Coquitlam,18178,f,gmc,2003,sierra,used,66.58054835100602
83,Fredericton,11881,m,acura,2015,rsx,used,152.22119089485736
66,Richmond Hill,23792,f,toyota,2002,corrola,used,67.93718216659151
48,Coquitlam,15496,f,bmw,2004,m3,used,276.5163239699407
52,North Vancouver,10640,m,tesla,2007,s,used,153.57782471044285
54,Richmond Hill,12422,f,gmc,1999,yukon,used,67.93718216659151
23,Saint John,19290,f,mercedes,2006,c,used,367.0530508466558
61,Saint-Jerome,17519,f,chevy,2014,equinox,used,67.93718216659151
18,Laval,4138,m,chevy,2016,malibu,used,166.20342006084238
78,Belleville,17020,f,honda,2002,civic,used,66.58054835100602
43,Red Deer,15805,m,mercedes,2017,c,used,286.9591026186475
30,Kawartha Lakes,5110,m,bmw,2010,m3,used,286.9591026186475
80,Prince George,6453,f,audi,2015,r8,used,277.8729577855262
28,Victoria,6855,f,chevy,2014,malibu,used,157.1172752277211
58,Delta,20494,m,tesla,2009,x,used,152.22119089485736
63,Red Deer,19831,f,toyota,2019,camry,new,67.93718216659151
19,Hamilton,9893,m,acura,2015,mdx,used,241.40128395598694
40,Langley,20545,f,ford,2007,f150,used,67.93718216659151
20,Saskatoon,1300,m,bmw,2004,m3,used,373.2861853644252
68,Barrie,11553,f,mercedes,2001,s,used,276.5163239699407
77,Edmonton,5722,f,tesla,2004,x,used,143.13504606173606
53,Kamloops,18106,f,acura,2015,rsx,used,144.49167987732156
27,Blainville,15989,f,ford,2018,focus,used,155.7606414121356
30,Wood Buffalo,22998,m,audi,2016,r8,used,286.9591026186475
78,Mississauga,1955,f,bmw,2002,x5,used,275.0199474701743
26,Surrey,24470,m,bmw,2012,i8,used,376.13919567977706
59,Saint Catharines,13342,m,ford,2001,focus,used,77.02332699971278
18,Ottawa,2366,f,mercedes,2008,s,used,364.20004053130396
61,Red Deer,22653,f,ford,2016,focus,used,67.93718216659151
26,Abbotsford,21236,m,toyota,2014,corrola,used,164.84678624525688
20,Toronto,18864,m,honda,2007,accord,used,166.20342006084238
60,Pickering,10099,m,nissan,2005,mirano,used,77.02332699971278
65,Blainville,14368,m,mercedes,2013,g,used,285.602468803062
26,Brossard,7093,f,nissan,2004,mirano,used,155.7606414121356
24,Saint Albert,22257,f,chevy,2009,equinox,used,157.1172752277211
31,Kingston,9411,f,chevy,2014,equinox,used,67.93718216659151
21,Maple Ridge,6462,f,gmc,2004,yukon,used,157.1172752277211
74,Red Deer,4840,f,ford,2017,focus,used,67.93718216659151
71,Mississauga,22140,f,acura,2009,mdx,used,144.49167987732156
34,Saint Albert,3318,f,audi,2009,r8,used,277.8729577855262
84,Brampton,4197,f,ford,2007,f150,used,66.58054835100602
